"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"120","6/22/21","21-SP3","2B","2","B",NA,"22",NA,NA,NA,FALSE,0,"20","222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"121","6/22/21","21-SP3","2B","2","B",NA,"222",NA,NA,NA,FALSE,0,"22","2222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"122","6/22/21","21-SP3","2B","2","B",NA,"222",NA,NA,NA,FALSE,0,"2222","22","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"123","6/22/21","21-SP3","2B","2","B",NA,"22",NA,NA,NA,FALSE,0,"222","20","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"124","6/22/21","21-SP3","2B","2","B",NA,"20",NA,NA,NA,FALSE,0,"22","2","right",0.34,"narrow","main",0.45,"wide","L","=","to.trunk"
"125","6/22/21","21-SP3","2B","2","B",NA,"2",NA,NA,NA,FALSE,0,"20","0","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"126","6/22/21","21-SP3","2B","2","B",NA,"0",NA,NA,NA,FALSE,0,"2","1","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"127","6/22/21","21-SP3","2B","2","B",NA,"1",NA,"10",NA,FALSE,0,"0","10","right",0.6,"wide","left",0.45,"narrow","R","N","away.from.trunk"
"128","6/22/21","21-SP3","2B","2","B",NA,"1","10",NA,NA,FALSE,0,"10","3","left",0.45,"narrow","main",0.6,"wide","R","=","to.trunk"
"129","6/22/21","21-SP3","2B","2","B",NA,"3",NA,NA,NA,FALSE,0,"1","1","left",0.6,"wide","left",0.6,"wide","U",NA,NA
"130","6/22/21","21-SP3","2B","2","B",NA,"1",NA,NA,NA,FALSE,0,"3","0","main",0.6,"wide","right",0.6,"wide","R","W","away.from.trunk"
"131","6/22/21","21-SP3","2B","2","B",NA,"0",NA,NA,NA,FALSE,0,"1","-1","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"132","6/23/21","21-SP3","3A","3","A","15:19","0",NA,"2",NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
